"idEmisora","Nombre","IdBanco","Emisora","TipoEnvio"
1,"BANAMEX CLABE TRADICIONAL","2","NoAplica","TRADICIONAL"
2,"BANAMEX CUENTA","2","NoAplica","CUENTA"
3,"BANAMEX TARJETA","2","NoAplica","TARJETA"
4,"BANAMEX INTERBANCARIO","2","NoAplica","INTERBANCARIO"
5,"BANAMEX TRADICIONAL REINTENTO","2","NoAplica","TRADICIONAL"
6,"BBVA TRADICIONAL REINTENTO","12","REINTENTO","TRADICIONAL"
7,"BANORTE TRADICIONAL REINTENTO ","72","REINTENTO","TRADICIONAL"
8,"SANTANDER TRADICIONAL REINTENTO ","14","REINTENTO","TRADICIONAL"
9,"SANTANDER CLABE TRADICIONAL","14","00623","TRADICIONAL"
10,"SANTANDER CUENTA ","14","00623","TRADICIONAL"
11,"SANTANDER CLABE INTERBANCARIO","14","00623","INTERBANCARIO"
12,"BANORTE CLABE TRADICIONAL","72","00496","TRADICIONAL"
13,"BANORTE CUENTA TRADICIONAL","72","00496","TRADICIONAL"
14,"BANORTE CLABE INTERBANCARIO","72","00496","INTERBANCARIO"
15,"BANORTE CLABE EN LINEA","72","00639","EN LINEA"
16,"BANORTE CUENTA EN LINEA","72","00639","EN LINEA"
17,"BBVA CLABE TRADICIONAL","12","07167","TRADICIONAL"
18,"BBVA CUENTA TRADICIONAL","12","07167","TRADICIONAL"
19,"BBVA CLABE MATUTINO","12","06114","MATUTINO"
20,"BBVA CUENTA MATUTINO","12","06114","MATUTINO"
21,"BBVA CLABE EN LINEA","12","07455","EN LINEA"
22,"BBVA CUENTA EN LINEA","12","07455","EN LINEA"
23,"BBVA CLABE PARCIAL","12","06111","PARCIAL"
24,"BBVA CUENTA PARCIAL","12","06111","PARCIAL"
25,"BBVA CLABE INTERBANCARIA","12","07167","INTERBANCARIO"
