"IdBanco","Nombre"
"1","BANCO DE MEXICO (BANXICO)"
"101","BANCA CREMI"
"102","ABN AMRO BANK MEXICO"
"103","AMERICAN EXPRESS"
"106","BANK OF AMERICA"
"107","BANCO DE BOSTON"
"108","BANK OF TOKYO"
"110","JP MORGAN"
"112","COMERICA BANK"
"113","BANCO VE POR MAS"
"116","ING BANK"
"12","BBVA MEXICO"
"124","DEUTSCHE BANK"
"126","CREDIT SUIZA"
"127","AZTECA"
"128","AUTOFIN MEXICO, S. A."
"129","BARCLAYS BANK MEXICO"
"131","BANCO FAMSA"
"132","BMULTIVA"
"135","NAFIN"
"137","BANCOPPEL"
"14","SANTANDER"
"149","BANRURAL"
"166","BABIEN"
"168","HIPOTECARIA FED"
"19","BANJERCITO"
"2","BANAMEX"
"21","HSBC"
"22","G.E. CAPITAL"
"3","BANCA SERFIN"
"30","BANCO DEL BAJIO"
"32","IXE"
"36","INBURSA"
"37","INTERACCIONES"
"42","MIFEL"
"44","SCOTIABANK"
"58","BANREGIO"
"59","INVEX"
"6","BANCOMEXT"
"60","BANSI"
"600","CASA DE BOLSA MONEX"
"601","CASA DE BOLSA GBM"
"602","MASARI CASA DE BOLSA"
"605","VALUE CASA DE BOLSA"
"607","CASA DE CAMBIO TIBER"
"608","CASA DE BOLSA VECTOR"
"610","B Y B CASA DE CAMBIO"
"611","INTERCAM CASA DE CAMBIO"
"612","MAJAPARA CASA DE CAMBIO"
"613","MULTIVALORES CASA DE BOLSA"
"614","ACCIVAL CASA DE BOLSA"
"615","MERRIL LYNCH CASA DE BOLSA"
"616","CASA DE BOLSA FINAMEX"
"62","AFIRME"
"7","CITIBANK, S. A."
"72","BANORTE"
"86","BANCEN"
"9","BANOBRAS"
"90646","STP"
"9999","GASTOS DE COBRANZA"
